Gemeente,Aardgas,Elektriciteit
Rozendaal,376,2573
Westervoort,722,11257
Onderbanken,935,7372
Haarlemmerliede en Spaarnwoude,1063,11840
Leeuwarderadeel,1635,10879
Renswoude,1670,15926
Schiermonnikoog,1704,5470
Vlieland,1733,7183
Voerendaal,1913,15581
Uitgeest,1914,28419
Simpelveld,2000,9555
Korendijk,2082,14408
Mook en Middelaar,2339,11563
Littenseradiel,2345,19638
het Bildt,2351,21607
Oudewater,2440,21760
Blaricum,2450,22002
Kollumerland en Nieuwkruisland,2618,22964
Doesburg,2629,39505
Oostzaan,2732,20988
Woudenberg,2773,29421
Loppersum,2836,22040
Winsum,2845,16891
Aalburg,2915,.
Heumen,2935,28676
Zederik,2940,36798
Bellingwedde,2969,13678
Waalre,3191,20429
Appingedam,3194,86926
Waterland,3290,22932
Wijk bij Duurstede,3520,33791
Landsmeer,3691,13380
Noord-Beveland,3738,29917
Grave,3759,21066
Lopik,3774,35992
Oegstgeest,3781,27241
Slochteren,3792,244327
Vaals,3808,16351
Zuidhorn,3855,180998
Strijen,3885,19450
Montfoort,3907,33870
Dantumadiel,3924,25144
Laren (NH.),4093,29661
Schinnen,4095,18017
Eemnes,4133,14323
Reusel-De Mierden,4352,37066
Borne,4411,33157
Cromstrijen,4446,24484
Voorschoten,4450,29604
Terschelling,4554,19419
Hilvarenbeek,4662,45203
Scherpenzeel,4665,52700
Hardinxveld-Giessendam,4713,39989
West Maas en Waal,4752,41036
Heeze-Leende,4817,43338
Ten Boer,4844,13238
Grootegast,4878,42078
De Marne,5007,41982
Ameland,5088,19600
Diemen,5116,109158
"Nuenen, Gerwen en Nederwetten",5144,46573
Landerd,5160,38913
Meerssen,5181,.
Sint Anthonis,5260,46536
Buren,5465,57595
Giessenlanden,5562,31551
Zandvoort,5574,32015
Urk,5584,71677
Heiloo,5644,34400
Sint-Michielsgestel,5680,38466
Leiderdorp,5693,45085
Bloemendaal,5764,51284
Maassluis,5797,38068
Duiven,5838,79622
Haaren,5862,33465
Goirle,5911,44837
Albrandswaard,5923,48317
Heemstede,5943,48204
