Gemeenten,Wind,Zon
Aa en Hunze,223,99
Aalsmeer,,85
Aalten,107,90
Achtkarspelen,4,103
Alblasserdam,,20
Albrandswaard,,46
Alkmaar,56,178
Almelo,,255
Almere,273,333
Alphen aan den Rijn,70,200
Alphen-Chaam,,40
Altena,,150
Ameland,,27
Amersfoort,,201
Amstelveen,,82
Amsterdam,464,446
Apeldoorn,,357
Arnhem,3,165
Assen,,175
Asten,,98
Baarle-Nassau,,41
Baarn,,26
Barendrecht,,76
Barneveld,0,198
Beek,,38
Beekdaelen,,93
Beesel,,33
Berg en Dal,,59
Bergeijk,,87
Bergen (L.),,42
Bergen (NH.),0,68
Bergen op Zoom,36,124
Berkelland,,159
Bernheze,,128
Best,,104
Beuningen,,78
Beverwijk,,40
Bladel,,98
Blaricum,,11
Bloemendaal,,23
Bodegraven-Reeuwijk,,79
Boekel,,96
Borger-Odoorn,394,447
Borne,,42
Borsele,392,317
Boxtel,,75
Breda,60,311
Brielle,,25
Bronckhorst,,117
Brummen,,63
Brunssum,,39
Bunnik,,38
Bunschoten,,71
Buren,60,78
Capelle aan den IJssel,23,42
Castricum,,62
Coevorden,163,266
Cranendonck,,216
Culemborg,39,54
Dalfsen,112,119
Dantumadiel,1,49
De Bilt,,46
De Fryske Marren,228,177
De Ronde Venen,18,71
De Wolden,,85
Delft,,65
Den Haag,30,217
Den Helder,16,144
Deurne,,150
Deventer,32,157
Diemen,,28
Dijk en Waard,59,235
Dinkelland,,94
Doesburg,,14
Doetinchem,,108
Dongen,,65
Dordrecht,54,140
Drechterland,6,73
Drimmelen,1,71
Dronten,925,240
Druten,,99
Duiven,54,69
Echt-Susteren,,93
Edam-Volendam,,47
Ede,39,265
Eemnes,,35
Eemsdelta,2086,292
Eersel,,75
Eijsden-Margraten,,77
Eindhoven,,405
Elburg,,52
Emmen,,524
Enkhuizen,24,23
Enschede,,245
Epe,,75
Ermelo,,74
Etten-Leur,261,107
Geertruidenberg,,66
Geldrop-Mierlo,,67
Gemert-Bakel,,140
Gennep,,109
Gilze en Rijen,,71
Goeree-Overflakkee,918,490
Goes,,110
Goirle,,57
Gooise Meren,,43
Gorinchem,,54
Gouda,3,69
Groningen,0,405
Gulpen-Wittem,,30
Haaksbergen,,52
Haarlem,0,107
Haarlemmermeer,65,421
Halderberge,234,106
Hardenberg,97,271
Harderwijk,,81
Hardinxveld-Giessendam,,34
Harlingen,180,62
Hattem,,15
Heemskerk,12,51
Heemstede,,26
Heerde,,34
Heerenveen,17,237
Heerlen,4,145
Heeze-Leende,,58
Heiloo,,45
