Gemeente,Totaal,Percentage,Wind,Zon,Gemeente_CBS,Gemeente_2023
Aa en Hunze,227,,,5,Aa en Hunze,Aa en Hunze
Aalburg,40,4.6,,0,Aalburg,Altena
Aalsmeer,44,1.3,,1,Aalsmeer,Aalsmeer
Aalten,150,8,81,2,Aalten,Aalten
Achtkarspelen,142,5.7,11,2,Achtkarspelen,Achtkarspelen
Alblasserdam,18,,,0,Alblasserdam,Alblasserdam
Albrandswaard,32,,,1,Albrandswaard,Albrandswaard
Alkmaar,1550,,49,6,Alkmaar,Alkmaar
Almelo,127,1.8,,1,Almelo,Almelo
Almere,446,,218,5,Almere,Almere
Alphen aan den Rijn,220,,85,3,Alphen aan den Rijn,Alphen aan den Rijn
Alphen-Chaam,76,,,1,Alphen-Chaam,Alphen-Chaam
Ameland,15,3.6,,0,Ameland,Ameland
Amersfoort,177,1.8,,7,Amersfoort,Amersfoort
Amstelveen,77,,,1,Amstelveen,Amstelveen
Amsterdam,4432,7.7,488,14,Amsterdam,Amsterdam
Apeldoorn,652,,,5,Apeldoorn,Apeldoorn
Appingedam,24,,,0,Appingedam,Eemsdelta
Arnhem,235,,1,2,Arnhem,Arnhem
Assen,109,2.3,,4,Assen,Assen
Asten,62,1.8,,1,Asten,Asten
Baarle-Nassau,36,4.7,,1,Baarle-Nassau,Baarle-Nassau
Baarn,71,3.2,,0,Baarn,Baarn
Barendrecht,42,,,1,Barendrecht,Barendrecht
Barneveld,242,3.8,,3,Barneveld,Barneveld
Bedum,30,,6,0,Bedum,Het Hogeland
Beek,31,1.8,,1,Beek (L.),Beek
Beemster,31,,,1,Beemster,Purmerend
Beesel,30,2.4,,2,Beesel,Beesel
Bellingwedde,54,7.4,,1,Bellingwedde,Westerwolde
Bergeijk,115,,,1,Bergeijk,Bergeijk
Bergen (L.),103,6.1,,1,Bergen (L.),Bergen (L.)
Bergen (NH.),106,4.4,1,1,Bergen (NH.),Bergen (NH.)
Bergen op Zoom,157,0.9,39,3,Bergen op Zoom,Bergen op Zoom
Berkelland,178,,,6,Berkelland,Berkelland
Bernheze,149,5.4,,2,Bernheze,Bernheze
Best,61,,,1,Best,Best
Beuningen,881,,,1,Beuningen,Beuningen
Beverwijk,34,,,1,Beverwijk,Beverwijk
Binnenmaas,59,2.1,,2,Binnenmaas,Hoeksche Waard
Bladel,86,4.6,,2,Bladel,Bladel
Blaricum,22,2.5,,0,Blaricum,Blaricum
Bloemendaal,56,3.5,,1,Bloemendaal,Bloemendaal
Bodegraven-Reeuwijk,53,,1,2,Bodegraven-Reeuwijk,Bodegraven-Reeuwijk
Boekel,37,3.8,,1,Boekel,Boekel
Borger-Odoorn,198,8.8,,3,Borger-Odoorn,Borger-Odoorn
Borne,36,2.2,,1,Borne,Borne
Borsele,1670,,308,2,Borsele,Borsele
Boxmeer,104,2.8,,3,Boxmeer,Land van Cuijk
Boxtel,72,2.3,,2,Boxtel,Boxtel
Breda,261,1.7,5,5,Breda,Breda
Brielle,25,,,0,Brielle,Brielle
Bronckhorst,213,,,4,Bronckhorst,Bronckhorst
Brummen,100,,,1,Brummen,Brummen
Brunssum,40,,,1,Brunssum,Brunssum
Bunnik,35,,,1,Bunnik,Bunnik
Bunschoten,25,1.6,,1,Bunschoten,Bunschoten
Buren,235,11,,2,Buren,Buren
Bussum,25,1.3,,0,Gooise Meren,Gooise Meren
Capelle aan den IJssel,48,1.4,,1,Capelle aan den IJssel,Capelle aan den IJssel
Castricum,61,2.9,,2,Castricum,Castricum
Coevorden,344,7.5,60,6,Coevorden,Coevorden
Cranendonck,86,,,1,Cranendonck,Cranendonck
Cromstrijen,50,4.1,25,1,Cromstrijen,Hoeksche Waard
Cuijk,2043,41,,2,Cuijk,Land van Cuijk
Culemborg,57,3.2,30,1,Culemborg,Culemborg
Dalfsen,166,7.4,45,6,Dalfsen,Dalfsen
Dantumadiel,64,5.5,1,2,Dantumadiel,Dantumadiel
De Bilt,92,2.7,,1,De Bilt,De Bilt
De Friese Meren,387,6.2,49,5,De Fryske Marren,De Fryske Marren
De Marne,103,11.2,46,1,De Marne,Het Hogeland
De Ronde Venen,88,2.3,15,2,De Ronde Venen,De Ronde Venen
De Wolden,126,5.2,,3,De Wolden,De Wolden
Delft,52,,,2,Delft,Delft
Delfzijl,2088,,673,1,Delfzijl,Eemsdelta
Den Haag,304,1.1,,8,'s-Gravenhage (gemeente),Den Haag
Den Helder,71,1.6,17,2,Den Helder,Den Helder
Deurne,114,3.8,,1,Deurne,Deurne
Deventer,159,2,,8,Deventer,Deventer
Diemen,18,,,0,Diemen,Diemen
Dinkelland,180,7.1,,4,Dinkelland,Dinkelland
Doesburg,14,,,1,Doesburg,Doesburg
Doetinchem,127,2.5,,2,Doetinchem,Doetinchem
Dongen,43,,,1,Dongen,Dongen
Dongeradeel,136,,15,2,Dongeradeel,Noardeast-Fryslân
Dordrecht,605,7,,8,Dordrecht,Dordrecht
Drechterland,55,,2,2,Drechterland,Drechterland
Drimmelen,69,2.2,1,1,Drimmelen,Drimmelen
Dronten,1196,33.4,999,6,Dronten,Dronten
Druten,35,2.1,,1,Druten,Druten
Duiven,924,45.8,,1,Duiven,Duiven
Echt-Susteren,118,,,4,Echt-Susteren,Echt-Susteren
Edam-Volendam,24,,,0,Edam-Volendam,Edam-Volendam
Ede,450,4.4,0,4,Ede,Ede
Eemnes,13,1,,0,Eemnes,Eemnes
Eemsmond,2276,,2218,1,Eemsmond,Eemsdelta
Eersel,99,5.2,,7,Eersel,Eersel
Eijsden-Margraten,62,,,3,Eijsden-Margraten,Eijsden-Margraten
Eindhoven,466,2.5,,5,Eindhoven,Eindhoven
