Gemeente;Inwoners;Inkomen;OAD;PV_code;PV;GM_Code
Appingedam;12001;34,2;1041;PV20;Groningen;GM0003
Bedum;10433;40,2;681;PV20;Groningen;GM0005
Bellingwedde;8971;36,9;151;PV20;Groningen;GM0007
Ten Boer;7352;41,1;367;PV20;Groningen;GM0009
Delfzijl;25068;35,1;681;PV20;Groningen;GM0010
Groningen (gemeente);200952;33,3;3379;PV20;Groningen;GM0014
Grootegast;12155;39,9;227;PV20;Groningen;GM0015
Haren;19076;49,8;862;PV20;Groningen;GM0017
Hoogezand-Sappemeer;34177;34,4;1248;PV20;Groningen;GM0018
Leek;19536;40,3;734;PV20;Groningen;GM0022
Loppersum;10042;38,2;207;PV20;Groningen;GM0024
Marum;10305;41,4;331;PV20;Groningen;GM0025
Almere;198145;41,5;1570;PV24;Flevoland;GM0034
Stadskanaal;32621;35,1;838;PV20;Groningen;GM0037
Slochteren;15698;41,9;214;PV20;Groningen;GM0040
Veendam;27467;36,3;990;PV20;Groningen;GM0047
Vlagtwedde;16422;35,3;355;PV20;Groningen;GM0048
Zeewolde;22113;43,9;787;PV24;Flevoland;GM0050
Winsum;13633;39,4;432;PV20;Groningen;GM0053
Zuidhorn;18794;43,0;410;PV20;Groningen;GM0056
Dongeradeel;23932;36,6;546;PV21;Fryslân;GM0058
Achtkarspelen;28007;36,7;421;PV21;Fryslân;GM0059
Ameland;3611;38,9;249;PV21;Fryslân;GM0060
het Bildt;10525;36,5;295;PV21;Fryslân;GM0063
Franekeradeel;20265;36,8;693;PV21;Fryslân;GM0070
Harlingen;15813;35,5;1032;PV21;Fryslân;GM0072
Heerenveen;50290;39,1;1086;PV21;Fryslân;GM0074
Kollumerland en Nieuwkruisland;12811;37,9;355;PV21;Fryslân;GM0079
Leeuwarden;107897;34,9;2209;PV21;Fryslân;GM0080
Leeuwarderadeel;10175;40,8;547;PV21;Fryslân;GM0081
Ooststellingwerf;25571;37,8;477;PV21;Fryslân;GM0085
Opsterland;29830;40,9;394;PV21;Fryslân;GM0086
Schiermonnikoog;919;37,4;308;PV21;Fryslân;GM0088
Smallingerland;55439;37,2;1327;PV21;Fryslân;GM0090
Terschelling;4870;41,9;237;PV21;Fryslân;GM0093
Vlieland;1083;38,5;195;PV21;Fryslân;GM0096
Weststellingwerf;25520;37,4;672;PV21;Fryslân;GM0098
Assen;67061;37,9;1525;PV22;Drenthe;GM0106
Coevorden;35381;39,8;491;PV22;Drenthe;GM0109
Emmen;107584;36,7;842;PV22;Drenthe;GM0114
Hoogeveen;55240;36,1;1168;PV22;Drenthe;GM0118
Meppel;32794;39,4;1238;PV22;Drenthe;GM0119
Littenseradiel;10833;42,8;129;PV21;Fryslân;GM0140
Almelo;72425;36,2;1554;PV23;Overijssel;GM0141
Borne;22343;43,2;1208;PV23;Overijssel;GM0147
Dalfsen;27916;44,7;492;PV23;Overijssel;GM0148
Deventer;98869;38,7;1724;PV23;Overijssel;GM0150
Enschede;158351;35,2;2096;PV23;Overijssel;GM0153
Haaksbergen;24332;42,5;1002;PV23;Overijssel;GM0158
Hardenberg;59687;41,0;533;PV23;Overijssel;GM0160
Hellendoorn;35651;41,7;799;PV23;Overijssel;GM0163
Hengelo (O.);81075;37,7;1812;PV23;Overijssel;GM0164
Kampen;51950;39,7;1406;PV23;Overijssel;GM0166
Losser;22444;40,9;730;PV23;Overijssel;GM0168
Noordoostpolder;46439;40,9;741;PV24;Flevoland;GM0171
Oldenzaal;32110;40,4;1447;PV23;Overijssel;GM0173
Ommen;17696;41,5;475;PV23;Overijssel;GM0175
Raalte;36700;42,7;648;PV23;Overijssel;GM0177
Staphorst;16544;46,3;352;PV23;Overijssel;GM0180
Tubbergen;21120;46,3;274;PV23;Overijssel;GM0183
