Gemeenten,aardgas_2016,aardgas_2021,elektriciteit_2016,elektriciteit_2021
Aa en Hunze,2030,1910,3290,3160
Aalsmeer,1490,1430,3330,3150
Aalten,1540,1530,3060,3010
Achtkarspelen,1720,1680,2760,2850
Alblasserdam,1220,1190,2940,2810
Albrandswaard,1320,1320,3180,3150
Alkmaar,1250,1210,2650,2530
Almelo,1360,1430,2930,2760
Almere,460,480,3180,3030
Alphen aan den Rijn,1280,1260,2990,2870
Alphen-Chaam,1890,1810,3730,3660
Altena,1600,1550,3430,3320
Ameland,1870,1820,3060,3180
Amersfoort,1190,1170,2850,2710
Amstelveen,1230,1240,2890,2800
Amsterdam,910,900,2210,2130
Apeldoorn,1460,1400,2960,2870
Arnhem,1170,1110,2600,2510
Assen,1440,1340,2730,2520
Asten,1640,1620,3660,3430
Baarle-Nassau,1770,1760,3490,3500
Baarn,1680,1580,3000,2890
Barendrecht,1220,1190,3360,3170
Barneveld,1690,1500,3420,3240
Beek,1720,1590,3230,3040
Beekdaelen,1810,1720,3450,3280
Beesel,1570,1510,3410,3160
Berg en Dal,1610,1550,3170,3060
Bergeijk,1800,1720,3700,3530
Bergen (L.),1680,1690,3570,3440
Bergen (NH.),1790,1680,3070,2910
Bergen op Zoom,1300,1270,3010,2880
Berkelland,1680,1630,3130,3110
Bernheze,1710,1650,3740,3550
Best,1480,1450,3480,3200
Beuningen,1510,1460,3350,3200
Beverwijk,1250,1230,2720,2610
Bladel,1570,1560,3470,3330
Blaricum,2160,2100,3900,4040
Bloemendaal,2230,2070,3610,3570
Bodegraven-Reeuwijk,1480,1440,3170,3100
Boekel,1730,1680,3790,3630
Borger-Odoorn,1990,1900,3250,3220
Borne,1460,1520,3330,3090
Borsele,1430,1470,2900,2980
Boxtel,1480,1430,3200,3050
Breda,1080,1070,3000,2860
Brielle,1300,1330,3130,3070
Bronckhorst,1850,1780,3400,3340
Brummen,1660,1600,3030,3000
Brunssum,1420,1360,2940,2820
Bunnik,1610,1540,3190,3040
Bunschoten,1520,1440,3520,3400
