DocID,Doc2Vec,LSA
GM0003DV02,4,3
GM0005DV01,2,4
GM0007DV01,2,4
GM0009DV01,0,0
GM0034DV01,0,0
GM0034DV02,0,0
GM0037DV02,4,3
GM0047DV01,3,0
GM0050DV01,3,0
GM0053DV01,0,3
GM0056DV01,0,0
GM0058DV01,0,2
GM0059DV01,0,3
GM0059DV02,0,0
GM0060DV01,3,2
GM0063DV01,2,4
GM0063DV02,0,0
GM0072DV01,0,3
GM0079DV01,4,0
GM0096DV01,0,1
GM0098DV01,0,3
GM0106DV01,0,0
GM0109DV01,0,3
GM0114DV01,0,4
GM0141DV01,4,1
GM0148DV01,3,3
GM0148DV03,0,3
GM0150DV01,0,0
GM0150DV02,4,1
GM0153DV01,4,1
GM0158DV01,0,0
GM0160DV01,3,2
GM0164DV01,0,0
GM0166DV01,4,3
GM0168DV01,3,2
GM0171DV01,0,2
GM0180DV02,3,2
GM0183DV01,3,0
GM0189DV01,0,3
GM0193DV01,0,0
GM0197DV01,0,3
GM0200DV01,3,2
GM0209DV01,3,2
GM0213DV01,0,2
GM0214DV01,0,1
GM0216DV01,3,2
GM0230DV01,2,4
GM0243DV01,4,3
GM0246DV01,3,3
GM0246DV02,3,2
GM0267DV01,0,3
GM0268DV01,4,1
GM0268DV02,0,3
GM0274DV01,2,4
GM0275DV01,3,2
GM0277DV01,3,4
GM0281DV01,2,4
GM0293DV01,2,4
GM0294DV01,2,3
GM0297DV01,3,2
GM0301DV01,4,3
GM0308DV01,0,2
GM0310DV01,3,2
GM0312DV01,3,2
GM0317DV01,0,3
GM0321DV01,3,0
GM0327DV01,3,4
GM0335DV01,3,2
GM0342DV01,0,0
GM0344DV01,0,1
GM0351DV01,4,1
GM0352DV01,0,0
GM0353DV02,0,3
GM0358DV01,0,3
GM0361DV01,0,2
GM0362DV01,2,1
GM0362DV02,2,3
GM0363DV01,4,1
GM0373DV01,4,3
GM0383DV01,3,3
GM0383DV02,3,3
GM0384DV01,2,4
GM0388DV01,0,3
GM0392DV01,4,1
GM0394DV01,4,1
GM0399DV01,0,1
GM0400DV01,0,3
GM0402DV01,0,2
GM0405DV01,0,2
GM0415DV01,3,2
GM0420DV01,0,3
GM0431DV01,3,2
GM0432DV01,0,4
GM0439DV01,4,1
GM0441DV01,0,0
GM0441DV02,3,2
GM0448DV01,0,1
GM0448DV02,0,3
GM0448DV03,2,1
GM0453DV01,4,1
GM0453DV02,3,3
GM0473DV01,0,1
GM0484DV02,3,2
GM0501DV02,3,4
GM0502DV01,4,1
GM0503DV01,3,3
GM0503DV02,0,0
GM0505DV02,3,2
GM0512DV01,2,1
GM0513DV01,4,1
GM0518DV01,4,1
GM0530DV01,2,4
GM0531DV01,3,2
GM0532DV01,3,3
GM0534DV01,2,4
GM0537DV01,2,4
GM0542DV01,0,1
GM0545DV01,0,3
GM0546DV01,0,0
GM0547DV01,2,4
GM0553DV01,4,0
GM0556DV01,0,3
GM0569DV01,3,2
GM0576DV01,0,1
GM0579DV01,4,0
GM0584DV01,3,3
GM0584DV02,2,4
GM0590DV01,0,0
GM0597DV01,4,0
GM0599DV01,4,1
GM0603DV01,1,0
GM0603DV02,1,0
GM0603DV03,4,3
GM0603DV04,2,4
GM0606DV01,2,4
GM0606DV02,0,3
GM0610DV02,3,2
GM0610DV03,3,2
GM0617DV01,2,4
GM0617DV02,3,2
GM0622DV01,4,1
GM0626DV01,0,0
GM0627DV01,2,1
GM0627DV03,0,1
GM0632DV01,4,1
GM0637DV01,0,0
GM0638DV01,4,1
GM0642DV01,2,4
GM0654DV01,0,0
GM0668DV01,2,4
GM0678DV01,2,4
GM0687DV01,2,1
GM0707DV01,0,0
GM0715DV01,0,0
GM0717DV01,0,0
GM0733DV01,2,4
GM0736DV01,3,2
GM0736DV02,3,2
GM0738DV01,3,2
GM0748DV01,3,2
GM0748DV02,2,1
GM0755DV01,0,0
GM0756DV01,2,4
GM0757DV01,4,1
GM0757DV02,4,0
GM0758DV01,0,0
GM0770DV01,4,3
GM0770DV02,0,3
GM0770DV03,3,3
GM0772DV02,0,0
GM0826DV01,3,3
GM0845DV01,0,3
GM0846DV01,0,0
GM0848DV01,4,1
GM0852DV02,0,1
GM0856DV01,0,1
GM0858DV01,2,4
GM0865DV01,3,2
GM0865DV02,0,0
GM0866DV01,3,2
GM0866DV02,0,1
GM0870DV01,3,3
GM0873DV01,2,4
GM0874DV01,3,2
GM0880DV01,3,2
GM0928DV01,1,1
GM0935DV01,3,0
GM0938DV01,0,0
GM0962DV01,0,0
GM0986DV01,1,1
GM0988DV01,0,0
GM0995DV01,4,1
GM1507DV01,3,2
GM1507DV02,3,2
GM1525DV02,4,1
